705 4
7.63924 7.90638 0.0847518 3.26931 
1.51304 2.0717 0.316995 3.64148 
0.0181246 0.0451885 0.915625 0.0786067 2
0.752484 0.0451885 -0.661689 -0.728283 3
0.311868 0.0451885 0.126968 -0.504524 3
0.679048 0.527884 0.521297 -0.653697 3
0.385304 0.0451885 0.126968 -0.606233 3
-0.716235 -1.88559 -0.26736 0.512564 1
-0.202183 -0.920202 -0.26736 -0.22652 3
0.311868 -0.437507 0.126968 -0.199397 2
0.972791 0.527884 -0.26736 -0.80965 4
-0.128747 -0.437507 0.915625 0.024362 2
-0.569363 -1.88559 -0.661689 0.126071 1
-0.128747 -0.437507 -0.26736 -0.280764 2
0.385304 0.0451885 -0.26736 -0.667258 3
0.752484 0.527884 0.521297 -0.545207 3
0.605612 0.0451885 -0.26736 -0.707942 3
1.11966 1.01058 0.521297 -0.714722 4
0.899356 0.527884 0.126968 -0.714722 3
0.899356 0.527884 0.126968 -0.653697 3
0.605612 -0.437507 0.126968 -0.46384 3
0.164996 -0.437507 0.126968 -0.504524 3
0.679048 0.0451885 -0.661689 -0.531646 3
0.45874 -0.437507 0.126968 -0.470621 3
0.532176 -0.437507 0.126968 -0.402815 3
0.972791 0.527884 0.126968 -0.748625 4
1.1931 0.527884 -0.661689 -0.768967 4
1.1931 0.527884 -0.26736 -0.768967 4
-0.642799 -0.437507 0.915625 0.322708 2
0.0181246 0.0451885 0.126968 -0.531646 3
0.311868 -0.437507 -1.05602 -0.260423 3
-0.0553113 -0.920202 -0.26736 -0.46384 2
0.0915605 0.0451885 0.126968 -0.545207 2
0.605612 0.527884 0.126968 -0.707942 3
0.0915605 -0.437507 -0.26736 -0.362132 2
0.972791 0.0451885 -0.26736 -0.6876 3
0.972791 0.527884 0.126968 -0.748625 4
0.45874 -0.437507 0.126968 -0.287545 3
0.532176 -0.437507 -0.26736 -0.46384 3
-1.23029 -1.88559 -0.26736 1.83478 1
0.752484 0.527884 0.521297 -0.423157 3
0.972791 0.527884 0.126968 -0.6876 3
-1.00998 -0.920202 0.126968 1.08213 2
0.385304 -0.437507 -0.26736 -0.606233 3
0.0181246 0.527884 0.915625 -0.287545 2
-0.275619 -0.437507 -0.26736 -0.423157 2
-0.495927 -1.4029 0.126968 0.166754 2
0.532176 0.0451885 0.126968 -0.585891 3
0.82592 0.0451885 -0.661689 -0.6876 3
0.899356 0.527884 0.521297 -0.592672 4
0.311868 -0.437507 -0.26736 -0.626575 3
1.33997 1.01058 0.126968 -0.836773 4
1.1931 1.01058 0.126968 -0.829992 4
0.45874 0.0451885 0.521297 -0.470621 3
0.238432 0.0451885 0.521297 -0.531646 3
0.605612 0.527884 1.30995 -0.34179 3
0.385304 0.527884 0.521297 -0.301106 3
