1795 4
7.63506 213.782 0 0.526508 
1.54737 43.3265 1 0.464816 
-0.0872819 -0.0872819 0 -0.444279 3
-0.225765 -0.225765 0 -0.542628 3
-1.42596 -1.42596 0 -0.684005 1
-0.641216 -0.641216 0 -0.450426 2
0.697458 0.697458 0 -0.99442 4
0.743619 0.743619 0 -1.03745 4
1.20523 1.20523 0 0.136597 4
0.651297 0.651297 0 -0.945245 4
0.928264 0.928264 0 -0.548775 4
-1.03359 -1.03359 0 0.188845 2
0.582055 0.582055 0 -1.03437 3
-0.179604 -0.179604 0 -0.601023 3
-1.07975 -1.07975 0 -0.99442 1
-0.571974 -0.571974 0 -0.61639 2
0.00504044 0.00504044 0 -0.407398 3
-0.41041 -0.41041 0 0.825041 3
0.0973628 0.0973628 0 0.234946 3
0.143524 0.143524 0 -0.954466 3
-0.548894 -0.548894 0 1.00637 3
0.466652 0.466652 0 -0.416618 4
-0.872022 -0.872022 0 2.29721 3
0.489733 0.489733 0 -0.567215 3
0.582055 0.582055 0 -0.561068 3
0.951344 0.951344 0 0.646783 3
0.7667 0.7667 0 -1.04974 4
1.20523 1.20523 0 -1.13272 5
-1.91065 -1.91065 0 1.79624 2
1.11291 1.11291 0 -0.945245 4
-0.0180401 -0.0180401 0 -0.911438 3
-0.80278 -0.80278 0 0.496186 3
-0.41041 -0.41041 0 -0.379737 3
0.605136 0.605136 0 -0.0969829 3
0.028121 0.028121 0 -0.0170741 3
-0.318088 -0.318088 0 -0.588729 2
-0.848941 -0.848941 0 0.972565 3
-1.10283 -1.10283 0 1.15082 2
-0.271927 -0.271927 0 -0.991346 3
-0.872022 -0.872022 0 -0.284461 2
0.143524 0.143524 0 -0.244507 3
0.535894 0.535894 0 -0.822309 3
-0.687377 -0.687377 0 0.606829 3
-0.710458 -0.710458 0 0.2749 3
0.305088 0.305088 0 0.0443941 3
0.39741 0.39741 0 -0.853043 3
-0.0180401 -0.0180401 0 -0.846896 3
-0.318088 -0.318088 0 1.22766 3
0.0973628 0.0973628 0 0.640637 4
-0.248846 -0.248846 0 1.34138 3
1.11291 1.11291 0 -0.557995 4
-0.756619 -0.756619 0 -0.690152 2
0.78978 0.78978 0 -0.730106 4
-0.779699 -0.779699 0 -0.269094 2
-0.41041 -0.41041 0 -0.0140007 3
0.305088 0.305088 0 -0.0078539 4
0.0973628 0.0973628 0 -0.0908361 3
0.466652 0.466652 0 -1.0313 3
-0.156524 -0.156524 0 -0.514967 3
-2.02605 -2.02605 0 0.631416 1
0.835941 0.835941 0 -0.770061 4
0.0973628 0.0973628 0 0.619123 4
0.351249 0.351249 0 -1.10814 3
-3.08776 -3.08776 0 3.02561 0
-0.0872819 -0.0872819 0 -0.487307 3
0.78978 0.78978 0 -0.988273 4
-2.09529 -2.09529 0 1.80853 1
-2.16453 -2.16453 0 2.38326 1
0.00504044 0.00504044 0 -0.192259 3
0.928264 0.928264 0 -0.419691 4
-0.248846 -0.248846 0 -0.0140007 3
0.37433 0.37433 0 -0.23836 4
0.166605 0.166605 0 -0.352076 3
-0.733538 -0.733538 0 0.394763 3
-0.895102 -0.895102 0 -1.04667 2
-0.571974 -0.571974 0 -1.06818 2
-0.248846 -0.248846 0 -0.379737 3
0.651297 0.651297 0 1.21844 3
-0.0180401 -0.0180401 0 -0.2568 3
0.420491 0.420491 0 -0.4996 4
0.835941 0.835941 0 -0.899144 4
0.466652 0.466652 0 -0.730106 3
-2.11837 -2.11837 0 2.7029 2
-0.733538 -0.733538 0 0.26568 3
-0.202685 -0.202685 0 -0.834602 3
-1.21823 -1.21823 0 -0.0355146 2
-1.24131 -1.24131 0 -0.475013 2
-0.548894 -0.548894 0 0.0167334 3
-0.779699 -0.779699 0 -0.441205 2
0.37433 0.37433 0 -1.10199 3
-1.33363 -1.33363 0 0.908024 2
-0.341168 -0.341168 0 -0.674785 3
0.0742822 0.0742822 0 -0.293681 3
-2.30302 -2.30302 0 2.02675 1
0.143524 0.143524 0 -0.352076 3
0.028121 0.028121 0 -0.441205 3
0.743619 0.743619 0 -0.99442 4
0.420491 0.420491 0 -0.840749 3
0.235846 0.235846 0 -0.551848 3
-2.07221 -2.07221 0 0.13967 1
-0.641216 -0.641216 0 -0.86841 2
0.189685 0.189685 0 -1.10814 3
-0.271927 -0.271927 0 0.339442 2
-0.341168 -0.341168 0 -0.610243 3
-1.12591 -1.12591 0 -0.708592 2
-0.225765 -0.225765 0 -0.991346 3
-0.687377 -0.687377 0 -1.00671 2
-0.479652 -0.479652 0 -1.09584 2
-2.88003 -2.88003 0 3.34524 1
-0.733538 -0.733538 0 -1.06818 2
-2.11837 -2.11837 0 1.13238 1
-0.433491 -0.433491 0 1.47968 1
-0.0180401 -0.0180401 0 -0.0201476 3
